;word list generated with Sketch Engine https://www.sketchengine.co.uk/word-lists/;
;language:;Spanish;
;corpus:;Spanish Web 2011;
;word form;frequence;
278;comunidad;2 643 094;0,003972859
279;mujeres;2 635 324;0,00396118
280;lado;2 622 976;0,00394262
281;obra;2 620 667;0,003939149
282;familia;2 607 510;0,003919373
283;junto;2 570 759;0,003864132
284;director;2 545 150;0,003825639
285;problema;2 544 395;0,003824504
286;condiciones;2 532 184;0,00380615
287;total;2 531 638;0,003805329
288;actividad;2 526 425;0,003797493
289;falta;2 525 708;0,003796415
290;buena;2 522 532;0,003791642
291;tengo;2 521 301;0,003789791
292;investigaci�n;2 514 317;0,003779293
293;algunas;2 510 062;0,003772898
294;bueno;2 499 989;0,003757757
295;espa?a;2 481 714;0,003730288
296;productos;2 474 141;0,003718905
297;producci�n;2 472 431;0,003716334
298;�ltimo;2 467 550;0,003708998
299;presente;2 449 928;0,00368251
300;casos;2 440 145;0,003667805
301;comisi�n;2 431 845;0,003655329
302;p�blica;2 423 958;0,003643474
303;fuera;2 419 767;0,003637174
304;igual;2 414 276;0,003628921
305;atenci�n;2 402 762;0,003611614
306;van;2 396 224;0,003601787
307;realidad;2 384 033;0,003583462
308;objetivo;2 378 457;0,003575081
309;estudio;2 378 446;0,003575065
310;mediante;2 376 648;0,003572362
311;control;2 375 209;0,003570199
312;verdad;2 372 960;0,003566818
313;provincia;2 370 356;0,003562904
314;puntos;2 370 106;0,003562529
315;pueblo;2 364 620;0,003554283
316;buenos;2 353 057;0,003536902
317;sociales;2 352 570;0,00353617
318;hemos;2 343 620;0,003522717
319;experiencia;2 337 450;0,003513443
320;apoyo;2 331 673;0,00350476
321;hombre;2 323 595;0,003492617
322;varios;2 318 180;0,003484478
323;medios;2 316 129;0,003481395
324;resultados;2 311 154;0,003473917
325;obras;2 300 896;0,003458498
326;local;2 300 123;0,003457336
327;chile;2 293 092;0,003446768
328;direcci�n;2 285 125;0,003434793
329;realizar;2 279 332;0,003426085
330;deben;2 274 384;0,003418648
331;base;2 265 354;0,003405075
332;mes;2 262 061;0,003400125
333;cuanto;2 260 901;0,003398382
334;gesti�n;2 256 780;0,003392187
335;trata;2 250 260;0,003382387
336;buen;2 247 937;0,003378895
337;municipal;2 243 490;0,003372211
338;siendo;2 228 805;0,003350138
339;julio;2 224 340;0,003343426
340;alguna;2 219 284;0,003335827
341;unidos;2 212 196;0,003325173
342;trabajadores;2 211 999;0,003324876
343;ayer;2 210 316;0,003322347
344;proyectos;2 198 582;0,003304709
345;incluso;2 190 016;0,003291834
346;cultura;2 183 160;0,003281528
347;esos;2 178 068;0,003273874
348;ma?ana;2 176 055;0,003270849
349;llegar;2 173 265;0,003266655
350;dicho;2 171 263;0,003263646
351;regi�n;2 165 553;0,003255063
352;segunda;2 159 686;0,003246244
353;poblaci�n;2 159 338;0,003245721
354;plan;2 159 008;0,003245225
355;paso;2 158 349;0,003244235
356;mundial;2 153 394;0,003236787
357;conocer;2 144 316;0,003223142
358;participaci�n;2 119 259;0,003185478
359;estoy;2 116 715;0,003181654
360;j�venes;2 103 713;0,003162111
361;mujer;2 102 945;0,003160956
362;cargo;2 101 939;0,003159444
363;primero;2 100 811;0,003157749
364;administraci�n;2 091 781;0,003144176
365;nuevos;2 089 472;0,003140705
366;hora;2 089 069;0,003140099
367;cuales;2 087 246;0,003137359
368;ciento;2 078 447;0,003124133
369;comunicaci�n;2 071 843;0,003114207
370;especial;2 069 395;0,003110527
371;claro;2 069 095;0,003110076
372;pesos;2 061 532;0,003098708
373;espacio;2 061 277;0,003098325
374;estudios;2 055 575;0,003089754
375;dios;2 055 036;0,003088944
376;nuevas;2 051 170;0,003083133
377;juego;2 049 583;0,003080747
378;mal;2 048 106;0,003078527
379;encuentra;2 040 113;0,003066513
380;cinco;2 036 268;0,003060734
381;mis;2 036 108;0,003060493
382;capital;2 035 574;0,00305969
383;valor;2 031 360;0,003053356
384;seguir;2 027 174;0,003047064
385;autoridades;2 022 197;0,003039583
386;podr�a;2 018 529;0,00303407
387;justicia;2 017 886;0,003033103
388;escuela;2 011 098;0,0030229
